,Bunker_Oil,Dry_Bulk_Index,USD_INR,Commodity_Gold,BDI_MA7,BDI_MA30,Oil_Daily_Return
2021-01-31,52.20000076293945,10.34000015258789,72.93879699707031,1847.300048828125,10.251857212611608,10.163100083669027,0.0
2021-02-01,53.54999923706055,10.1899995803833,72.90660095214844,1860.800048828125,10.157571520124163,10.225433413187663,0.0
2021-02-02,54.7599983215332,9.229999542236328,73.11979675292969,1830.5,10.084714344569615,10.282766723632813,0.025862039356128852
2021-02-03,55.689998626708984,9.449999809265137,72.91629791259766,1832.199951171875,10.031857081821986,10.308100032806397,0.022595688173889794
2021-02-04,56.22999954223633,9.8100004196167,72.85800170898438,1788.9000244140625,9.949999945504326,10.340766684214275,0.01698320550915855
2021-02-05,56.849998474121094,10.239999771118164,72.9457015991211,1810.9000244140625,9.95714282989502,10.382433350880941,0.009696551065604853
2021-02-06,56.849998474121094,10.239999771118164,72.9457015991211,1810.9000244140625,9.94285706111363,10.439433352152507,0.011026123722783554
2021-02-07,56.849998474121094,10.239999771118164,72.9457015991211,1810.9000244140625,9.92857129233224,10.470100021362304,0.0
2021-02-08,57.970001220703125,9.789999961853027,72.78479766845703,1831.9000244140625,9.91428552355085,10.466766675313314,0.0
2021-02-09,58.36000061035156,10.100000381469727,72.92990112304688,1835.300048828125,9.857142720903669,10.448433335622152,0.019701016299795926
2021-02-10,58.68000030517578,10.75,72.85489654541016,1840.5999755859375,9.98142855507987,10.440433343251547,0.006727607062894991
2021-02-11,58.2400016784668,11.550000190734863,72.80729675292969,1824.9000244140625,10.167142868041992,10.405433336893717,0.005483202389950925
2021-02-12,59.470001220703125,12.430000305175781,72.70950317382812,1821.5999755859375,10.415714263916016,10.437433338165283,-0.007498272399807271
2021-02-13,59.470001220703125,12.430000305175781,72.70950317382812,1821.5999755859375,10.728571483067103,10.519766680399577,0.02111949702589211
2021-02-14,59.470001220703125,12.430000305175781,72.70950317382812,1821.5999755859375,11.041428702218193,10.585100015004477,0.0
2021-02-15,59.470001220703125,12.430000305175781,72.59480285644531,1821.5999755859375,11.35428592136928,10.631433359781902,0.0
2021-02-16,60.04999923706055,15.819999694824219,72.63870239257812,1797.199951171875,11.731428827558245,10.677766704559327,0.0
2021-02-17,61.13999938964844,16.65999984741211,72.93499755859375,1771.0999755859375,12.548571586608887,10.8371000289917,0.00975278299061988
2021-02-18,60.52000045776367,13.520000457763672,72.79730224609375,1773.4000244140625,13.392857279096331,11.024433358510334,0.018151543154644845
2021-02-19,59.2400016784668,14.5,72.60540008544922,1775.800048828125,13.674285888671875,11.118100039164226,-0.010140643409782824
2021-02-20,59.2400016784668,14.5,72.60540008544922,1775.800048828125,13.97000013078962,11.241433366139729,-0.021150012716708022
2021-02-21,59.2400016784668,14.5,72.60540008544922,1775.800048828125,14.265714372907366,11.347100035349529,0.0
2021-02-22,61.4900016784668,13.739999771118164,72.5530014038086,1806.699951171875,14.561428615025111,11.463766702016194,0.0
2021-02-23,61.66999816894531,13.34000015258789,72.44400024414062,1804.4000244140625,14.748571395874023,11.555100027720133,0.037981092779372005
2021-02-24,63.220001220703125,13.170000076293945,72.37699890136719,1796.4000244140625,14.394285746983119,11.633100032806396,0.0029272480983124627
